Title,Ratings,Votings,Duration,Genre
300. Fierce Killer Marsupial,2.3, (39),1h 26m,Horror
301. The Family Business,8.3, (26),1h 29m,Horror
302. True Fear,4.5, (268),1h 32m,Horror
303. Orang Ikan,6.5, (32),1h 23m,Horror
304. The Candy Store,4.1, (75),1h 26m,Horror
306. Another Cabin in the Woods Movie,4.7, (199),1h 17m,Horror
307. The Forbidden Camp: Mass Possession,6.2, (283),1h 52m,Horror
308. Carnage for Christmas,4.5, (339),1h 9m,Horror
309. I Heart Willie,6.0, (96),1h 28m,Horror
310. Haze,6.9, (45),1h 16m,Horror
311. The Last Nightmare Part One,6.0, (75),50m,Horror
313. Last Stop: Rocafort St.,4.1, (461),1h 29m,Horror
314. Quadrant,4.3, (139),1h 13m,Horror
316. Siccin 7,4.0, (922),1h 34m,Horror
317. Betting with Ghost,6.7, (58),1h 52m,Horror
318. Scared to Death,6.2, (27),1h 38m,Horror
319. Whisper of the Witch,3.9, (330),1h 35m,Horror
321. Perewangan,5.5, (129),1h 49m,Horror
322. History of Evil,3.4, (817),1h 38m,Horror
324. I'll Play Mother,5.1, (85),1h 48m,Horror
325. Cocaine Werewolf,2.3, (299),1h 20m,Horror
326. Night Talkers,4.1, (89),1h 29m,Horror
327. Bogieville,5.6, (324),1h 48m,Horror
329. What Happened to Suzy,6.5, (66),1h 34m,Horror
330. Dinner with Leatherface,7.4, (22),1h 46m,Horror
331. Kalinga,7.8, (7.6K),1h 56m,Horror
332. Staycation,7.1, (104),1h 34m,Horror
333. Bag of Lies,3.8, (575),1h 36m,Horror
334. The Convent,4.3, (13),1h 20m,Horror
335. Chainsaws Were Singing,7.2, (354),1h 57m,Horror
336. Graveyard Shark,3.3, (220),1h 37m,Horror
337. Family,7.2, (31),1h 35m,Horror
338. Wake,3.4, (263),1h 25m,Horror
339. Demonte Colony 2,6.6, (4.4K),2h 24m,Horror
340. Paranoia,4.2, (356),1h 35m,Horror
341. Life of Belle,5.0, (643),1h 13m,Horror
342. Followers,3.7, (249),1h 14m,Horror
"343. Spider Baby, or The Maddest Story Ever Told",5.2, (88),1h 12m,Horror
344. Ghost Game,3.4, (284),1h 26m,Horror
346. Jimmy and Stiggs,6.1, (35),1h 20m,Horror
347. Kakuda,5.4, (6.3K),1h 56m,Horror
348. The Witch: Revenge,5.3, (808),1h 40m,Horror
349. The Epidemic,5.8, (69),1h 35m,Horror
350. The Hunted,5.1, (367),1h 34m,Horror
351. In Our Blood,6.9, (46),1h 29m,Horror
352. Bureau 749,4.1, (512),2h 3m,Horror
353. Massacre at Femur Creek,7.5, (413),1h 22m,Horror
354. Clickbait: Unfollowed,4.9, (568),1h 30m,Horror
355. Clownface 3,9.5, (35),1h 44m,Horror
356. A Mother's Embrace,5.8, (562),1h 30m,Horror
357. Jugaremos en el bosque,4.8, (94),1h 30m,Horror
358. Amp House Massacre,3.8, (179),1h 20m,Horror
359. The Sisters,4.7, (148),2h 2m,Horror
360. You Shouldn't Have Let Me In,4.1, (178),1h 24m,Horror
362. Darling,5.3, (745),2h 39m,Horror
363. Mountain Shark,5.1, (99),1h 21m,Horror
365. Killer Influence,2.7, (261),1h 24m,Horror
366. Jurnal Risa by Risa Saraswati,4.4, (285),1h 32m,Horror
367. Where is My Head?,6.8, (81),1h 30m,Horror
368. Munkar,5.2, (488),1h 27m,Horror
369. Skeletons in the Closet,3.0, (565),1h 32m,Horror
372. Witch Hunter,5.2, (23),1h 20m,Horror
373. Heretics,5.9, (34),1h 23m,Horror
375. Devil,4.6, (1.6K),1h 58m,Horror
376. The Killers,6.1, (75),1h 59m,Horror
377. Spring Garden,4.4, (175),1h 30m,Horror
379. Xoftex,6.4, (40),1h 39m,Horror
381. The Clock,3.4, (31),1h 20m,Horror
382. Dancing Village: The Curse Begins,5.7, (4.1K),2h 2m,Horror
383. Do You See What I See,5.4, (643),1h 49m,Horror
384. The Exorcism of Saint Patrick,3.6, (165),1h 30m,Horror
385. Respati,5.8, (282),1h 52m,Horror
386. Winter Island,4.6, (170),1h 42m,Horror
387. Noise,5.9, (19),1h 35m,Horror
388. Tenants,5.8, (80),1h 34m,Horror
389. Chateau,4.0, (268),1h 23m,Horror
390. Broken Bird,5.8, (118),1h 39m,Horror
391. Camp Blood: Clown Shark,3.3, (84),1h 10m,Horror
392. Suckers,3.3, (119),1h 7m,Horror
393. The Naughty List of Mr. Scrooge,4.5, (199),1h 30m,Horror
394. Wineville,4.3, (221),1h 40m,Horror
395. Invited,5.2, (201),1h 11m,Horror
396. Scurry,7.5, (22),1h 30m,Horror
397. Haunted Universities 3,5.4, (307),1h 59m,Horror
398. Trinil,4.5, (355),1h 45m,Horror
399. Campton Manor,3.4, (223),1h 23m,Horror
400. Guardian,4.1, (664),2h,Horror
402. Gacy: Serial Killer Next Door,3.3, (474),1h 37m,Horror
404. Pesadilla,6.6, (46),1h 52m,Horror
"406. Silent Night, Bloody Night 3: Descent",3.6, (174),1h 40m,Horror
407. The Sin,5.3, (336),1h 43m,Horror
408. The Cellar,5.8, (166),1h 25m,Horror
409. Echoes of Crystal Lake: A Friday the 13th Story,8.4, (16),3m,Horror
410. Passages of Nexus,5.9, (195),1h 48m,Horror
411. Temurun,4.6, (327),1h 25m,Horror
412. Don't Look Back... I Know Your Origins,4.4, (76),1h 44m,Horror
413. They Call Her Death,6.5, (25),1h 32m,Horror
414. Mananambal,7.1, (11),1h 40m,Horror
416. Members Club,4.7, (156),1h 30m,Horror
417. The Shadow,6.5, (249),1h 30m,Horror
418. Aranmanai 4,5.0, (2.4K),2h 28m,Horror
419. The Jack in the Box Rises,4.1, (787),1h 32m,Horror
420. Don't Make a Sound,4.3, (34),1h 20m,Horror
422. Kromoleo,4.0, (231),1h 20m,Horror
423. Cursed,4.2, (135),1h 21m,Horror
424. Ghost Island,7.3, (46),1h 35m,Horror
425. Possessions,3.8, (847),1h 29m,Horror
426. Air Fryer Slaughter,6.8, (406),1h 30m,Horror
427. Its Name Was Mormo,3.7, (114),1h 33m,Horror
428. Hide and Seek,5.3, (40),1h 24m,Horror
429. Dead Whisper,3.9, (549),1h 28m,Horror
430. Dagr,4.6, (2.7K),1h 17m,Horror
431. House of Ashes,6.7, (32),1h 35m,Horror
432. Tu Sangre,4.7, (65),1h 21m,Horror
433. Easter Bloody Easter,3.3, (280),1h 43m,Horror
434. A Halloween Feast,5.5, (781),1h 43m,Horror
"435. Hemet, or the Landlady Don't Drink Tea",4.3, (87),1h 29m,Horror
436. 9 Windows,3.6, (307),1h 22m,Horror
437. OMG: O Manchi Ghost,5.2, (585),2h 5m,Horror
438. Ship of the Damned,2.8, (295),1h 28m,Horror
439. The Boys,4.7, (136),2h 11m,Horror
441. Guess Who,4.8, (365),1h 33m,Horror
442. Fright,6.7, (58),1h 21m,Horror
443. Üç Harfliler: Nazar,4.8, (120),1h 34m,Horror
